name	document_code	anchor	occurrence
princesse_d_elide	merveilles17_imp_pie-guignard1668	name556	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name557	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name558	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name559	Moron
moron	merveilles17_imp_pie-guignard1668	name560	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name561	LA PRINCESSE
philis	merveilles17_imp_pie-guignard1668	name562	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name563	TIRCIS
philis	merveilles17_imp_pie-guignard1668	name564	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name565	Tircis
tircis	merveilles17_imp_pie-guignard1668	name566	TIRCIS
philis	merveilles17_imp_pie-guignard1668	name567	PHILIS
moron	merveilles17_imp_pie-guignard1668	name568	MORON
philis	merveilles17_imp_pie-guignard1668	name569	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name570	TIRCIS
moron	merveilles17_imp_pie-guignard1668	name571	MORON
philis	merveilles17_imp_pie-guignard1668	name572	PHILIS
moron	merveilles17_imp_pie-guignard1668	name573	MORON
philis	merveilles17_imp_pie-guignard1668	name574	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name575	Tircis
moron	merveilles17_imp_pie-guignard1668	name576	MORON
philis	merveilles17_imp_pie-guignard1668	name577	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name578	TIRCIS
moron	merveilles17_imp_pie-guignard1668	name579	MORON
philis	merveilles17_imp_pie-guignard1668	name580	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name581	Tircis
moron	merveilles17_imp_pie-guignard1668	name582	MORON
philis	merveilles17_imp_pie-guignard1668	name583	PHILIS
moron	merveilles17_imp_pie-guignard1668	name584	MORON
moron	merveilles17_imp_pie-guignard1668	name585	Moron
philis	merveilles17_imp_pie-guignard1668	name586	PHILIS
moron	merveilles17_imp_pie-guignard1668	name587	MORON
philis	merveilles17_imp_pie-guignard1668	name588	PHILIS
moron	merveilles17_imp_pie-guignard1668	name589	MORON
philis	merveilles17_imp_pie-guignard1668	name590	PHILIS
moron	merveilles17_imp_pie-guignard1668	name591	MORON
tircis	merveilles17_imp_pie-guignard1668	name592	TIRCIS
moron	merveilles17_imp_pie-guignard1668	name593	MORON
tircis	merveilles17_imp_pie-guignard1668	name594	TIRCIS
moron	merveilles17_imp_pie-guignard1668	name595	Moron
moron	merveilles17_imp_pie-guignard1668	name596	MORON
tircis	merveilles17_imp_pie-guignard1668	name597	Tircis
philis	merveilles17_imp_pie-guignard1668	name598	PHILIS
tircis	merveilles17_imp_pie-guignard1668	name599	Tircis
princesse_d_elide	merveilles17_imp_pie-guignard1668	name600	LA Princesse
euriale	merveilles17_imp_pie-guignard1668	name601	Prince d’Itaque
aristomene	merveilles17_imp_pie-guignard1668	name602	le Prince de Messene
princesse_d_elide	merveilles17_imp_pie-guignard1668	name603	la Princesse
iphitas	merveilles17_imp_pie-guignard1668	name604	Roy
princesse_d_elide	merveilles17_imp_pie-guignard1668	name605	Princesse
moron	merveilles17_imp_pie-guignard1668	name606	Moron
euriale	merveilles17_imp_pie-guignard1668	name607	EVRIALE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name608	LA PRINCESSE
