LE ROY	#louisxiv	acteur	merveilles17_i_pie-ballard1	pers14
LE ROY	#louisxiv	destinataire	merveilles17_i_pie-ballard1	pers15
LE ROY	#louisxiv	destinataire	merveilles17_i_pie-ballard1	pers16
Duc de Noailles	#anne_de_noailles	acteur	merveilles17_i_pie-ballard1	pers17
Duc de Noailles	#anne_de_noailles	acteur	merveilles17_i_pie-ballard1	pers18
Le Duc de Guise	#henri_ii_de_guise	acteur	merveilles17_i_pie-ballard1	pers19
le Comte d’Armagnac	#henri_de_lorraine	acteur	merveilles17_i_pie-ballard1	pers20
Le Duc de Guise	#henri_ii_de_guise	acteur	merveilles17_i_pie-ballard1	pers21
Le Duc de Guise	#henri_ii_de_guise	acteur	merveilles17_i_pie-ballard1	pers22
Le comte d’Armagnac	#henri_de_lorraine	acteur	merveilles17_i_pie-ballard1	pers23
Le Comte d’Armagnac	#henri_de_lorraine	acteur	merveilles17_i_pie-ballard1	pers24
Les Ducs de Foix	#henri_daillon_charles_de_foix	acteur	merveilles17_i_pie-ballard1	pers25
de Coaslin	#armand_du_cambout	acteur	merveilles17_i_pie-ballard1	pers26
Le Duc de Foix	#henri_cdaillon_charles_de_foix	acteur	merveilles17_i_pie-ballard1	pers27
le Duc de Foix	#henri_daillon_charles_de_foix	acteur	merveilles17_i_pie-ballard1	pers28
Le Duc de Coaslin	#armand_du_cambout	acteur	merveilles17_i_pie-ballard1	pers29
Le Duc de Coaslin	#armand_du_cambout	acteur	merveilles17_i_pie-ballard1	pers30
Le Comte du Lude	#henri_de_daillon	acteur	merveilles17_i_pie-ballard1	pers31
le Prince de Marsillac	#francois_vii_de_la_rochefoucauld	acteur	merveilles17_i_pie-ballard1	pers32
Le Comte du Lude	#henri_de_daillon	acteur	merveilles17_i_pie-ballard1	pers33
Le Comte du Lude	henri_de_daillon	acteur	merveilles17_i_pie-ballard1	pers34
Le Prince de Marsillac	#francois_vii_de_la_rochefoucauld	acteur	merveilles17_i_pie-ballard1	pers35
Le Prince de Marsillac	#francois_vii_de_la_rochefoucauld	acteur	merveilles17_i_pie-ballard1	pers36
Les Marquis de Villequiert	#antoine_d_aumont	acteur	merveilles17_i_pie-ballard1	pers37
de Soyecourt	cm_de_belleforiere	acteur	merveilles17_i_pie-ballard1	pers38
Le Marquis de Villequiert	#antoine_d_aumont	acteur	merveilles17_i_pie-ballard1	pers39
Roy	#louisxiv		merveilles17_i_pie-ballard1	pers40
Le Marquis de Villequiert	#antoine_d_aumont	acteur	merveilles17_i_pie-ballard1	pers41
Le Marquis de Soyecourt	#cm_de_belleforiere	acteur	merveilles17_i_pie-ballard1	pers42
Les Marquis d’Humieres	#louis_crevant	acteur	merveilles17_i_pie-ballard1	pers43
de la Valliere	#jf_de_labaume	acteur	merveilles17_i_pie-ballard1	pers44
Le Marquis d’Humieres	#louis_crevant	acteur	merveilles17_i_pie-ballard1	pers45
Le Marquis d’Humieres	#louis_crevant	acteur	merveilles17_i_pie-ballard1	pers46
Le Marquis de la Valliere	#jf_de_labaume	acteur	merveilles17_i_pie-ballard1	pers47
Le Marquis de la Valliere	#jf_de_labaume	acteur	merveilles17_i_pie-ballard1	pers48
Monsieur le DVC	hj_bourbon_conde	acteur	merveilles17_i_pie-ballard1	pers49
Monsieur le Duc	hj_bourbon_conde	acteur	merveilles17_i_pie-ballard1	pers50
les Reynes	#marie_therese #anne_d_autriche		merveilles17_i_pie-ballard1	pers51
Reyne			merveilles17_i_pie-ballard1	pers52
La Grange	#la_grange	acteur	merveilles17_i_pie-ballard1	pers53
Millet	#millet	acteur	merveilles17_i_pie-ballard1	pers54
Madlle de Brie	#mlle_de_brie	acteur	merveilles17_i_pie-ballard1	pers55
Madlle Moliere	#armande_bejart	acteur	merveilles17_i_pie-ballard1	pers56
Hubert	#andre_hubert	acteur	merveilles17_i_pie-ballard1	pers57
Du Croisy	#du_Croisy	acteur	merveilles17_i_pie-ballard1	pers58
trente-quatre concertans			merveilles17_i_pie-ballard1	pers59
la Reyne	#marie_therese		merveilles17_i_pie-ballard1	pers60
LOVIS	#louisxiv		merveilles17_i_pie-ballard1	pers61
Madlle du Parc	#therese_duparc	acteur	merveilles17_i_pie-ballard1	pers62
Du Parc	#gros_rene	acteur	merveilles17_i_pie-ballard1	pers63
La Thorilliere	#la_thorilliere	acteur	merveilles17_i_pie-ballard1	pers64
Bejart	#louis_bejart	acteur	merveilles17_i_pie-ballard1	pers65
Madlle. Bejart	armande_bejart	acteur	merveilles17_i_pie-ballard1	pers66
Moliere	#moliere	acteur	merveilles17_i_pie-ballard1	pers67
Monsieurs de la Marque Coquet			merveilles17_i_pie-ballard1	pers68
Messieurs Parfait Père			merveilles17_i_pie-ballard1	pers69
Fils			merveilles17_i_pie-ballard1	pers70
Frere			merveilles17_i_pie-ballard1	pers71
