technique_code	document_code	anchor	occurrence
costume	merveilles17_i_ctb-perrault1670	tech72	SON bonnet étoit d’or en forme de Turban, chargé de perles, d’une plume de Heron, & de plumes des couleurs de la Quadrille.Son habit étoit de lames d’or ; sur les épaules étoient des testes de Tigres, d’où pendoient aussi bien que du bas des manches & du Tonnelet des lambrequins de fourures chargez d’yeux de Dragon, & de pierreries.Le carapaçon étoit une peau de Panthere, recouuerte de feüillages d’or chargez de pierreries, & rebordées de fourures.
costume	merveilles17_i_ctb-perrault1670	tech73	LA cuirasse étoit de peau de Dragons, dont les deux testes se rencontrant sur les épaules, vomissoient les manches, dont celle de dessus étoit de brocart vert, rebrodé de même que l’habit, & celle de dessous de toille d’argent qui descendoit jusque sur le poignet, étoit liée d’un bracelet de grosses Emeraudes, & les queües de Dragons faisoient des lambrequins ; le tout chargé d’une broderie de perles & de rubis, ainsi que les brodequins.Sur la coeffure qui étoit un morion d’or, rampoit vn Dragon de même métal, qui soûtenoit deux cercles de brillans d’or, chargez de plumes vertes & blanches, surmontées de trois bouquets de plumes en Aigrette, d’où sortoient trois masses de Heron, qui donnoient quatre pieds de hauteur à cét habillement de teste, duquel une queüe de plumes encor descendoit sur le dos du Chevalier.Son Cimeterre étoit d’or garny de pierreries, le fourreau à la Chinoise enrichy de même, il portoit une masse d’armes à aîles dorées, & découpées à jour, dont le bâton étoit entouré d’un Serpent au naturel.
animal	merveilles17_i_ctb-perrault1670	tech74	Il montoit un grand Coursier Bay, caparaçonné d’une peau de Tigre, avec la bordure en broderie d’or & d’argent, il y avoit une teste de Dragon d’or au poitral, des Serpens d’or & de soye sur les épaules & sur les flancs au lieu des campanes, & un gros mufle de Dragon vomissoit sur la croupe quantité de couleuvres, qui en formoient la queüe, comme les corps de Dragon double entrelassez de part & d’autre à costez de la méme croupe faisoient les pendans de la croupiere, & plusieurs couleuvres faisoient aussi les crins du col.Le Coursier avoit au front une corne dorée, au dessus de laquelle s’élevoit une Aigrette de brillans d’or & d’argent, d’où sortoit une masse de Héron.
animal	merveilles17_i_ctb-perrault1670	tech75	des chevaux de bonne haleine & bien dressez
construction	merveilles17_i_ctb-perrault1670	tech76	le même échafaut du jour précedent
construction	merveilles17_i_ctb-perrault1670	tech77	les échafauts qui entouroient le Camp
costume	merveilles17_i_ctb-perrault1670	tech78	la hauteur des Plumes & des aigrettes de leur Coeffure obligea d’augmenter beaucoup
machine	merveilles17_i_dv-felibien1676	tech1	Machines
construction	merveilles17_i_dv-felibien1676	tech2	Théatres
construction	merveilles17_i_dv-felibien1676	tech3	des Bocages ornez & enrichis de fontaines & de figures
	merveilles17_i_dv-felibien1676	tech4	Bocages
decor	merveilles17_i_dv-felibien1676	tech5	un gros arbre
eaux	merveilles17_i_dv-felibien1676	tech6	infinité de jets d’eau
eaux	merveilles17_i_dv-felibien1676	tech7	jets d’eau
construction	merveilles17_i_dv-felibien1676	tech8	un grand nombre d’autres
construction	merveilles17_i_dv-felibien1676	tech9	un gros jet d’eau
construction	merveilles17_i_dv-felibien1676	tech10	ajutages
decor	merveilles17_i_dv-felibien1676	tech11	grand nombre d’orangers & de pots de porcelaines remplis d’une infinité de diverses fleurs, que par des festons aussi de fleurs, disposez d’une maniére qui les faisoit beaucoup paroître parmi les arbres ausquels ils estoient attachez. Une infinité de jattes & de cuvettes de porcelaine, pleines de toutes sortes de fruits, couvroient non seulement ces tables de marbre dont j’ay parlé, mais encore toutes les marches de gazon qui sont aux environs. Entre les jattes & les cuvettes il y avoit des corbeilles remplies de pastes & de fruits confits entremêlez de caraffes de crystal & d’autres petites porcelaines, où l’on avoit mis toutes sortes de liqueurs
lumieres	merveilles17_i_dv-felibien1676	tech12	deux rangs de bougies
lumieres	merveilles17_i_dv-felibien1676	tech13	d’autres lumiéres
construction	merveilles17_i_dv-felibien1676	tech14	Le Théatre
construction	merveilles17_i_dv-felibien1676	tech15	un pareil nombre de piedestaux de marbre
lumieres	merveilles17_i_dv-felibien1676	tech16	girandoles
lumieres	merveilles17_i_dv-felibien1676	tech17	dix bougies
lumieres	merveilles17_i_dv-felibien1676	tech18	une girandole
construction	merveilles17_i_dv-felibien1676	tech19	Théatre
lumieres	merveilles17_i_dv-felibien1676	tech20	un grand lustre
lumieres	merveilles17_i_dv-felibien1676	tech21	girandoles
eaux	merveilles17_i_dv-felibien1676	tech22	six differens jets
eaux	merveilles17_i_dv-felibien1676	tech23	jets d’eau
lumieres	merveilles17_i_dv-felibien1676	tech24	tant de lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech25	tant de lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech26	tant de lustres
lumieres	merveilles17_i_dv-felibien1676	tech27	girandoles
construction	merveilles17_i_dv-felibien1676	tech28	ce Théatre
musique	merveilles17_i_dv-felibien1676	tech29	la Musique
construction	merveilles17_i_dv-felibien1676	tech30	un Salon de verdure
construction	merveilles17_i_dv-felibien1676	tech31	des Amphithéatres
musique	merveilles17_i_dv-felibien1676	tech32	la Musique
construction	merveilles17_i_dv-felibien1676	tech33	Ce Salon
construction	merveilles17_i_dv-felibien1676	tech34	un gros jet d’eau
decor	merveilles17_i_dv-felibien1676	tech35	cinq Figures de Satyres
construction	merveilles17_i_dv-felibien1676	tech36	ce Salon
musique	merveilles17_i_dv-felibien1676	tech37	la Musique
	merveilles17_i_dv-felibien1676	tech38	la promenade
machine_eau	merveilles17_i_dv-felibien1676	tech39	machines
eaux	merveilles17_i_dv-felibien1676	tech40	plusieurs jets d’eau
eaux	merveilles17_i_dv-felibien1676	tech41	soixante-treize jets d’eau
lumieres	merveilles17_i_dv-felibien1676	tech42	plus de cent cinquante lustres
lumieres	merveilles17_i_dv-felibien1676	tech43	des girandoles
lumieres	merveilles17_i_dv-felibien1676	tech44	bougies
lumieres	merveilles17_i_dv-felibien1676	tech45	des girandoles
lumieres	merveilles17_i_dv-felibien1676	tech46	bougies
animal	merveilles17_i_dv-felibien1676	tech47	d’oiseaux tres-rares, & d’une quantité incroyable d’autres animaux sauvages.
musique	merveilles17_i_dv-felibien1676	tech48	la musique
construction	merveilles17_i_dv-felibien1676	tech49	Théatre
construction	merveilles17_i_dv-felibien1676	tech50	ce Théatre
lumieres	merveilles17_i_dv-felibien1676	tech51	Sept grands lustres
construction	merveilles17_i_dv-felibien1676	tech52	Théatre
lumieres	merveilles17_i_dv-felibien1676	tech53	quantité de girandoles
lumieres	merveilles17_i_dv-felibien1676	tech54	une infinité d’autres lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech55	infinité de bougies
lumieres	merveilles17_i_dv-felibien1676	tech56	tant de lumiéres
construction	merveilles17_i_dv-felibien1676	tech57	THEATRE
construction	merveilles17_i_dv-felibien1676	tech58	le Théatre
construction	merveilles17_i_dv-felibien1676	tech59	bassins de fontaines
construction	merveilles17_i_dv-felibien1676	tech60	Théatre
construction	merveilles17_i_dv-felibien1676	tech61	deux lances d’eau
eaux	merveilles17_i_dv-felibien1676	tech62	quantité des jets d’eau
construction	merveilles17_i_dv-felibien1676	tech63	une infinité de figures d’eau
eaux	merveilles17_i_dv-felibien1676	tech64	plusieurs jets
construction	merveilles17_i_dv-felibien1676	tech65	plusieurs palissades de lances
lumieres	merveilles17_i_dv-felibien1676	tech66	petits chandeliers
animal	merveilles17_i_dv-felibien1676	tech67	aigrettes
construction	merveilles17_i_dv-felibien1676	tech68	un Théatre
construction	merveilles17_i_dv-felibien1676	tech69	bassins de fontaine
construction	merveilles17_i_dv-felibien1676	tech70	le Théatre
musique	merveilles17_i_dv-felibien1676	tech71	la Musique
lumieres	merveilles17_i_dv-felibien1676	tech72	cent flambeaux
feu-artifice	merveilles17_i_dv-felibien1676	tech73	Feu d’artifice
lumieres	merveilles17_i_dv-felibien1676	tech74	Figures d’illuminations
lumieres	merveilles17_i_dv-felibien1676	tech75	lumiéres
feu-artifice	merveilles17_i_dv-felibien1676	tech76	une infinité de feux
feu-artifice	merveilles17_i_dv-felibien1676	tech77	Mille fusées
lumieres	merveilles17_i_dv-felibien1676	tech78	lumiéres differentes
bruitage	merveilles17_i_dv-felibien1676	tech79	bruit des canons
feu-artifice	merveilles17_i_dv-felibien1676	tech80	les feux
lumieres	merveilles17_i_dv-felibien1676	tech81	mille lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech82	girandole de crystal
lumieres	merveilles17_i_dv-felibien1676	tech83	plusieurs bougies
decor	merveilles17_i_dv-felibien1676	tech84	huit Figures d’argent drapées d’or. Ces figures estoient assises & disposées en differenes attitudes, tenans toutes des flageolets & autres instrumens champestres, dont elles sembloient jouër.
lumieres	merveilles17_i_dv-felibien1676	tech85	une girandole
lumieres	merveilles17_i_dv-felibien1676	tech86	un lustre
lumieres	merveilles17_i_dv-felibien1676	tech87	bougies
lumieres	merveilles17_i_dv-felibien1676	tech88	girandole
machine_terre	merveilles17_i_dv-felibien1676	tech89	cette machine
lumieres	merveilles17_i_dv-felibien1676	tech90	une rangée de bougies
lumieres	merveilles17_i_dv-felibien1676	tech91	six cens bougies
lumieres	merveilles17_i_dv-felibien1676	tech92	des rangées de bougies
machine_terre	merveilles17_i_dv-felibien1676	tech93	cette machine
lumieres	merveilles17_i_dv-felibien1676	tech94	lumiéres
construction	merveilles17_i_dv-felibien1676	tech95	un bassin de fontaine, d’où s’éleve un piedestal, qui porte un autre bassin en forme de table ronde, dont les bords sont de pierres congelées de differentes couleurs
eaux	merveilles17_i_dv-felibien1676	tech96	L’eau qui sort du milieu de ce bassin par la bouche d’un gros masque de bronze doré, retombe par napes dechirées dans la bassin d’embas
eaux	merveilles17_i_dv-felibien1676	tech97	jet d’eau
construction	merveilles17_i_dv-felibien1676	tech98	un Théatre
lumieres	merveilles17_i_dv-felibien1676	tech99	girandoles
lumieres	merveilles17_i_dv-felibien1676	tech100	plusieurs bougies
construction	merveilles17_i_dv-felibien1676	tech101	ce Théatre
eaux	merveilles17_i_dv-felibien1676	tech102	la grande piéce d’eau
lumieres	merveilles17_i_dv-felibien1676	tech103	lumiéres coloriées
construction	merveilles17_i_dv-felibien1676	tech104	un rocher
lumieres	merveilles17_i_dv-felibien1676	tech105	un Obelisque tout de lumiére
construction	merveilles17_i_dv-felibien1676	tech106	Du rocher
machine_eau	merveilles17_i_dv-felibien1676	tech107	un Dragon les aîles déployées, qui sembloit à demi écrasé sous le faix de la machine
construction	merveilles17_i_dv-felibien1676	tech108	rocher
lumieres	merveilles17_i_dv-felibien1676	tech109	d’illuminations
lumieres	merveilles17_i_dv-felibien1676	tech110	mille feux étincelans
machine_terre	merveilles17_i_dv-felibien1676	tech111	Cette machine
	merveilles17_i_dv-felibien1676	tech112	une lumiére
eaux	merveilles17_i_dv-felibien1676	tech113	la pièce d’eau
lumieres	merveilles17_i_dv-felibien1676	tech114	plusieurs lances à feu
lumieres	merveilles17_i_dv-felibien1676	tech115	semblables lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech116	un nombre infini de feux
machine_eau	merveilles17_i_dv-felibien1676	tech117	Dragon
feu-artifice	merveilles17_i_dv-felibien1676	tech118	des torrens de feu
feu-artifice	merveilles17_i_dv-felibien1676	tech119	mille éclairs & mille foudres
feu-artifice	merveilles17_i_dv-felibien1676	tech120	Un nombre infini de semblables feux
machine_eau	merveilles17_i_dv-felibien1676	tech121	le Dragon
eaux	merveilles17_i_dv-felibien1676	tech122	la piéce d’eau
feu-artifice	merveilles17_i_dv-felibien1676	tech123	petits tourbillons de feu
feu-artifice	merveilles17_i_dv-felibien1676	tech124	une infinité d’autres feux
feu-artifice	merveilles17_i_dv-felibien1676	tech125	mille étincelles de feu
feu-artifice	merveilles17_i_dv-felibien1676	tech126	mille fusées
feu-artifice	merveilles17_i_dv-felibien1676	tech127	mille autres feux
feu-artifice	merveilles17_i_dv-felibien1676	tech128	Mille partemens de fusées
feu-artifice	merveilles17_i_dv-felibien1676	tech129	gerbes de feu
	merveilles17_i_dv-felibien1676	tech130	cette grande piéce d’eau
feu-artifice	merveilles17_i_dv-felibien1676	tech131	nombre de cinq milles fusées
feu-artifice	merveilles17_i_dv-felibien1676	tech132	trente mille differentes piéces d’artifice
machine_eau	merveilles17_i_dv-felibien1676	tech133	la Machine
lumieres	merveilles17_i_dv-felibien1676	tech134	d’Illuminations
musique	merveilles17_i_dv-felibien1676	tech135	les musiques
feu-artifice	merveilles17_i_dv-felibien1676	tech136	les feux d’artifice
lumieres	merveilles17_i_dv-felibien1676	tech137	tracez du lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech138	double rang de feux
lumieres	merveilles17_i_dv-felibien1676	tech139	pareilles lumiéres
eaux	merveilles17_i_dv-felibien1676	tech140	mille jets d’eau
lumieres	merveilles17_i_dv-felibien1676	tech141	Ces lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech142	figures de feu
lumieres	merveilles17_i_dv-felibien1676	tech143	une lumiére douce
feu-artifice	merveilles17_i_dv-felibien1676	tech144	ces feux
decor	merveilles17_i_dv-felibien1676	tech145	Figures illuminées
eaux	merveilles17_i_dv-felibien1676	tech146	la piéce d’eau
lumieres	merveilles17_i_dv-felibien1676	tech147	Illuminations
lumieres	merveilles17_i_dv-felibien1676	tech148	six cens cinquante Termes de lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech149	lumiéres
construction	merveilles17_i_dv-felibien1676	tech150	la grande piéce d’eau
construction	merveilles17_i_dv-felibien1676	tech151	Cette piéce d’eau
construction	merveilles17_i_dv-felibien1676	tech152	un Palais
construction	merveilles17_i_dv-felibien1676	tech153	un Palais
lumieres	merveilles17_i_dv-felibien1676	tech154	feu & des éclats de lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech155	d’étincelles de feu
eaux	merveilles17_i_dv-felibien1676	tech156	un gros jet d’eau
construction	merveilles17_i_dv-felibien1676	tech157	deux rochers
eaux	merveilles17_i_dv-felibien1676	tech158	un gros jet d’eau
lumieres	merveilles17_i_dv-felibien1676	tech159	des lumiéres
construction	merveilles17_i_dv-felibien1676	tech160	cette grande piéce d’eau
lumieres	merveilles17_i_dv-felibien1676	tech161	la lumiére
lumieres	merveilles17_i_dv-felibien1676	tech162	ces grandes piéces d’eau éclairées
lumieres	merveilles17_i_dv-felibien1676	tech163	Figures lumineuses
lumieres	merveilles17_i_dv-felibien1676	tech164	ces Illuminations
lumieres	merveilles17_i_dv-felibien1676	tech165	les lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech166	vingt mille lumiéres
lumieres	merveilles17_i_dv-felibien1676	tech167	quatre milles autres feux
feu-artifice	merveilles17_i_ormessonmai1664	tech	feux d’artifices
musique	merveilles17_i_pie-ballard1	tech1	de la Musique
decor	merveilles17_i_pie-ballard1	tech2	Isle flotante
machine_temps	merveilles17_i_pie-ballard1	tech3	vn Char
construction	merveilles17_i_pie-ballard1	tech4	Portiques
machine_temps	merveilles17_i_pie-ballard1	tech5	Char
machine_temps	merveilles17_i_pie-ballard1	tech6	Char
lumieres	merveilles17_i_pie-ballard1	tech7	vn nombre infiny de lumieres
machine_vol	merveilles17_i_pie-ballard1	tech8	vne Machine
animal	merveilles17_i_pie-ballard1	tech9	vn cheual d’Espagne
animal	merveilles17_i_pie-ballard1	tech10	vn Elephant
animal	merveilles17_i_pie-ballard1	tech11	vn Chameau
animal	merveilles17_i_pie-ballard1	tech12	vn Ours
machine_vol	merveilles17_i_pie-ballard1	tech13	vne Machine
costume	merveilles17_i_pie-ballard1	tech14	armez à la Grecques
machine_eau	merveilles17_i_pie-ballard1	tech15	Monstre Marin
decor	merveilles17_i_pie-ballard1	tech16	deux Isles
construction	merveilles17_i_pie-ballard1	tech17	Palais d’Alcine
construction	merveilles17_i_pie-ballard1	tech18	Frontispice du Palais
lumieres	merveilles17_i_pie-ballard1	tech19	deux flambeaux
construction	merveilles17_i_pie-ballard1	tech20	ce Palais
bruitage	merveilles17_i_pie-ballard1	tech21	vn coup de Tonnerre
lumieres	merveilles17_i_pie-ballard1	tech22	plusieurs esclairs
construction	merveilles17_i_pie-ballard1	tech23	Palais
feu-artifice	merveilles17_i_pie-ballard1	tech24	Feu d’artifice
	merveilles17_i_pie-ballard1	tech25	vn Char
	merveilles17_i_pie-ballard1	tech26	le Char
	merveilles17_i_pie-ballard1	tech27	vne Machine
machine_eau	merveilles17_i_pie-ballard1	tech28	vne Machine
construction	merveilles17_i_pie-ballard1	tech29	Palais d’Alcine
construction	merveilles17_i_pie-ballard1	tech30	Eschaffaut
construction	merveilles17_i_pie-ballard1	tech31	trois autres echaffauts
construction	merveilles17_i_pie-ballard2	tech1	hautes toilles
construction	merveilles17_i_pie-ballard2	tech2	bastimens de bois
lumieres	merveilles17_i_pie-ballard2	tech3	nombre prodigieux de flambeaux de cire blanche
construction	merveilles17_i_pie-ballard2	tech4	orner vn Rond
construction	merveilles17_i_pie-ballard2	tech5	hautes palissades; de quatre Portiques de trente-cinq pieds d’éleuation, & de vingt-deux en quarré d’ouuerture; de plusieurs festons enrichis d’or, & de diuerses peintures auec les armes de sa Majesté.
costume	merveilles17_i_pie-ballard2	tech6	fort richement habillé de couleur de feu
costume	merveilles17_i_pie-ballard2	tech7	habillé de sa liurée de toille d’argent enrichie d’or, auec les plumes incarnates & noires & les rubans de mesme
costume	merveilles17_i_pie-ballard2	tech8	vestu de couleur de feu, argent & noir; & le reste de la liurée semblable
costume	merveilles17_i_pie-ballard2	tech9	habillez de satin couleur de feu, & argent; leurs plumes de la mesme liurée, & les carapaçons de leurs cheuaux couuerts d’vne pareille broderie, auec des Soleils d’or fort esclatants aux banderolles des Trompettes, & les couuertures des Tymballes
costume	merveilles17_i_pie-ballard2	tech10	armé à la Grecque, d’vne cuirasse de toille d’argent couuerte de petites escailles d’or; aussi bien que son bas de saye, & son Casque estoit orné d’vn Dragon, & d’vn grand nombre de plumes blanches, meslées d’incarnat & de noir
animal	merveilles17_i_pie-ballard2	tech11	vn cheval blanc, bardé de mesme
animal	merveilles17_i_pie-ballard2	tech12	vn des plus beaux cheuaux du monde, dont le harnois couleur de feu esclattoit d’or, d’argent & de pierreries
costume	merveilles17_i_pie-ballard2	tech13	estoit armée à la façon des Grecs comme tous ceux de sa Quadrille, & portoit vne cuirasse de lame d’argent, couuerte d’vne riche broderie d’or & de diamans. Son port & toute son action estoient dignes de son rang ; son Casque tout couuert de plumes couleur de feu
costume	merveilles17_i_pie-ballard2	tech14	portant la couleur de feu & le noir sous vne riche broderie d’argent, & ces plumes aussi bien que tout le reste de son esquipage estoient de cette mesme liurée
costume	merveilles17_i_pie-ballard2	tech15	vn habit de cette couleur en broderie d’or & de geaix
animal	merveilles17_i_pie-ballard2	tech16	son cheual
costume	merveilles17_i_pie-ballard2	tech17	portoit sur vn habit de toille d’argent plusieurs rubis, & montoit vn cheual blanc bardé de la mesme couleur
costume	merveilles17_i_pie-ballard2	tech18	vestus l’vn d’incarnat auec or & argent; & l’autre de vert, blanc & argent: Toute leur liurée
animal	merveilles17_i_pie-ballard2	tech19	leurs cheuaux
costume	merveilles17_i_pie-ballard2	tech20	le premier vestu d’incarnat & blanc; et l’autre de jaune, blanc & noir, enrichis de broderie d’argent, leur liurée de mesme, & fort bien montez
costume	merveilles17_i_pie-ballard2	tech21	l’vn portoit le bleu & argent ; & l’autre le bleu, blanc, & noir auec or & argent : leurs plumes, & les harnois de leurs cheuaux estoient de la mesme couleur, & d’vne pareille richesse
costume	merveilles17_i_pie-ballard2	tech22	la couleur de chair & argent; & l’autre le gris de lin, blanc & argent: toute leur liurée estant la plus riche, & la mieux assortie du monde
costume	merveilles17_i_pie-ballard2	tech23	sa liurée la couleur de feu, blanc & argent : vn grand nombre de Diamants estoient attachez sur la magnifique broderie, dont sa cuirasse, & son bas de saye estoient couuerts; son casque, & le harnois de son cheual en estoient aussi enrichis.
machine_temps	merveilles17_i_pie-ballard2	tech24	VN char de dix-huit pieds de haut, de vingt-quatre de long, & de quinze de large; paroissoit en suite esclatant d’or & de diuerses couleurs
costume	merveilles17_i_pie-ballard2	tech25	riches habits
machine_temps	merveilles17_i_pie-ballard2	tech26	ce Char magnifique
machine_vol	merveilles17_i_pie-ballard2	tech27	Machine
costume	merveilles17_i_pie-ballard2	tech28	des vestes couleur de feu enrichie d’argent, & des coiffures de mesmes.
lumieres	merveilles17_i_pie-ballard2	tech29	vn nombre infiny de lumieres
animal	merveilles17_i_pie-ballard2	tech30	vn Cheual d’Espagne
costume	merveilles17_i_pie-ballard2	tech31	Son habit estoit vert en broderie d’argent, & de fleurs au naturel
animal	merveilles17_i_pie-ballard2	tech32	vn Elephant
animal	merveilles17_i_pie-ballard2	tech33	vn Chameau
animal	merveilles17_i_pie-ballard2	tech34	vn Ours
costume	merveilles17_i_pie-ballard2	tech35	vestus d’habits conformes à cette profession, mais fort riches
machine_vol	merveilles17_i_pie-ballard2	tech36	Machine fort ingenieuse en forme d’vne petite Montagne ou Roche ombragée de plusieurs arbres ; mais ce qui estoit plus surprenant, c’est qu’on la voyoit portée en l’air, sans que l’artifice qui la faisoit mouuoir se peust descouurir à la veuë.
costume	merveilles17_i_pie-ballard2	tech37	fort richement vestus
costume	merveilles17_i_pie-ballard2	tech38	tres bien vestus
construction	merveilles17_i_pie-ballard2	tech39	vn petit Theatre
construction	merveilles17_i_pie-ballard2	tech40	ces hautes palissades
lumieres	merveilles17_i_pie-ballard2	tech41	vn nombre infiny de Chandeliers peints de vert & d’argent, portant chacun vingt-quatre bougies, & deux cent flambeaux de cire blanche
costume	merveilles17_i_pie-ballard2	tech42	leurs Casques couuerts de plumes de differentes couleurs, & leurs habits de la Course
construction	merveilles17_i_pie-ballard2	tech43	ce rond
construction	merveilles17_i_pie-ballard2	tech44	vn autre rond enuironné de palissades
construction	merveilles17_i_pie-ballard2	tech45	le Palais d’Alcine
construction	merveilles17_i_pie-ballard2	tech46	couurir de toilles, en si peu de temps qu’on auoit lieu de s’en estonner, tout ce rond d’vne espece de Dome, pour deffendre contre le vent
lumieres	merveilles17_i_pie-ballard2	tech47	le grand nombre de Flambeaux & de Bougies qui deuoient esclairer
construction	merveilles17_i_pie-ballard2	tech48	le Theatre
decor	merveilles17_i_pie-ballard2	tech49	la decoration estoit fort agreable
animal	merveilles17_i_pie-ballard2	tech50	vn Ours
animal	merveilles17_i_pie-ballard2	tech51	l’Ours
animal	merveilles17_i_pie-ballard2	tech52	l’Ours
animal	merveilles17_i_pie-ballard2	tech53	vn autre Ours
animal	merveilles17_i_pie-ballard2	tech54	vn des Ours
trappe	merveilles17_i_pie-ballard2	tech55	de dessous le Theatre
machine_musique	merveilles17_i_pie-ballard2	tech56	la machine d’vn grand arbre chargé de seize Faunes, dont les huit joüerent de la Fluste, & les autres du Violon auec vn concert le plus agreable du monde
construction	merveilles17_i_pie-ballard2	tech57	le Palais d’Alcine
construction	merveilles17_i_pie-ballard2	tech58	vn Rocher
decor	merveilles17_i_pie-ballard2	tech59	d’vne Isle couuerte de diuers animaux
decor	merveilles17_i_pie-ballard2	tech60	Deux autres Isles plus longues, mais d’vne moindre largeur, paroissoient aux deux costez de la premiere
lumieres	merveilles17_i_pie-ballard2	tech61	si fort esclairées, que ces lumieres faisoient naistre vn nouueau jour dans l’obscurité de la nuit
musique	merveilles17_i_pie-ballard2	tech62	l’vne des deux Isles qui paroissoient aux costez de la premiere, fut toute couuerte de Violons fort bien vestus
decor	merveilles17_i_pie-ballard2	tech63	L’autre qui luy estoit opposée
construction	merveilles17_i_pie-ballard2	tech64	le Rocher
machine_eau	merveilles17_i_pie-ballard2	tech65	vn Monstre-Marin d’vne grandeur prodigieuse
machine_eau	merveilles17_i_pie-ballard2	tech66	de grandes Baleines
construction	merveilles17_i_pie-ballard2	tech67	Rondeau
bruitage	merveilles17_i_pie-ballard2	tech68	vn coup de Tonnerre
lumieres	merveilles17_i_pie-ballard2	tech69	plusieurs esclairs
feu-artifice	merveilles17_i_pie-ballard2	tech70	Feu d’artifice
machine_vol	merveilles17_i_pie-ballard2	tech71	fusées volantes
feu-artifice	merveilles17_i_pie-ballard2	tech72	Feu d’Artifice
bruitage	merveilles17_i_pie-ballard2	tech73	vn bruit & vne longueur extraordinaires
construction	merveilles17_i_pie-ballard2	tech74	vn des theatres doubles de son Sallon
construction	merveilles17_i_pie1673	tech1	De hautes toilles, des bestimens de bois faits
lumieres	merveilles17_i_pie1673	tech2	nombre prodigieux de flambeaux de cire blanche
lumieres	merveilles17_i_pie1673	tech3	quatre mille bougies
decor	merveilles17_i_pie1673	tech4	un Rond
construction	merveilles17_i_pie1673	tech5	hautes palissages
construction	merveilles17_i_pie1673	tech6	quatre Portique
costume	merveilles17_i_pie1673	tech7	vestu d’un habit à l’antique
costume	merveilles17_i_pie1673	tech8	armé à la Grecque
animal	merveilles17_i_pie1673	tech9	cheval blanc, bardé de mesme
animal	merveilles17_i_pie1673	tech10	un des plus beaux chevaux du monde
costume	merveilles17_i_pie1673	tech11	armée à la façon des Grecs
costume	merveilles17_i_pie1673	tech12	son Casque tout couvert de plumes couleur de feu
costume	merveilles17_i_pie1673	tech13	un habit de cette couleur en broderie d’or & de geais
machine_temps	merveilles17_i_pie1673	tech14	UN Char
lumieres	merveilles17_i_pie1673	tech15	brillante de lumiéres
machine_temps	merveilles17_i_pie1673	tech16	Char
animal	merveilles17_i_pie1673	tech17	Quatre chevaux d’une taille et d’une beauté peu communes, couverts de grandes housses semées de Soleils d’or, & attellez de front
machine_temps	merveilles17_i_pie1673	tech18	Machine
machine_temps	merveilles17_i_pie1673	tech19	Char
costume	merveilles17_i_pie1673	tech20	des vestes, couleur de feu, enrichies d’argent, & des coëffures de mesme
machine_terre	merveilles17_i_pie1673	tech21	Char
lumieres	merveilles17_i_pie1673	tech22	un nombre infini de lumiéres
animal	merveilles17_i_pie1673	tech23	un cheval d’Espagne
animal	merveilles17_i_pie1673	tech24	un Eléphant, couvert d’une riche housse
animal	merveilles17_i_pie1673	tech25	un Chameau.
animal	merveilles17_i_pie1673	tech26	un Ours
machine_vol	merveilles17_i_pie1673	tech27	Machine
construction	merveilles17_i_pie1673	tech28	un petit Theatre
construction	merveilles17_i_pie1673	tech29	hautes palissades
lumieres	merveilles17_i_pie1673	tech30	un nombre infini de Chandeliers peints de vert & d’argent, portans chacun vingt-quatre bougies
costume	merveilles17_i_pie1673	tech31	vestuës en Masques
costume	merveilles17_i_pie1673	tech32	Casques couverts de plumes de differentes couleurs, & leurs habits de la Course
construction	merveilles17_i_pie1673	tech33	vn autre rond environné de palissades
construction	merveilles17_i_pie1673	tech34	Palais d’Alcine
construction	merveilles17_i_pie1673	tech35	toilles, en si peu de temps qu’on avoit lieu de s’en étonner, tout ce rond, d’une espece de dome
lumieres	merveilles17_i_pie1673	tech36	grand nombre de Flambeaux & de Bougies
construction	merveilles17_i_pie1673	tech37	le Theatre
animal	merveilles17_i_pie1673	tech38	un Ours
animal	merveilles17_i_pie1673	tech39	l’Ours
animal	merveilles17_i_pie1673	tech40	l’Ours
animal	merveilles17_i_pie1673	tech41	un autre Ours
animal	merveilles17_i_pie1673	tech42	un des Ours
machine_musique	merveilles17_i_pie1673	tech43	machine
construction	merveilles17_i_pie1673	tech44	le grand Rondeau
construction	merveilles17_i_pie1673	tech45	le Palais d’Alcine
construction	merveilles17_i_pie1673	tech46	ce Rondeau
construction	merveilles17_i_pie1673	tech47	un Rocher
decor	merveilles17_i_pie1673	tech48	Deux autres Isles plus longues
construction	merveilles17_i_pie1673	tech49	Rondeau
lumieres	merveilles17_i_pie1673	tech50	ces lumiéres
decor	merveilles17_i_pie1673	tech51	l’une des deux Isles qui paroissoient aux costez de la premiére
construction	merveilles17_i_pie1673	tech52	Rocher
machine_eau	merveilles17_i_pie1673	tech53	Monstre Marin d’une grandeur prodigieuse.
machine_eau	merveilles17_i_pie1673	tech54	grandes Baleines
