lieu_code	document_code	anchor	occurrence	desc
versailles_jardins_menagerie	merveilles17_i_dv-felibien1676	placeName56	la Ménagerie	
versailles_canal	merveilles17_i_dv-felibien1676	placeName57	grand Canal	
versailles	merveilles17_i_dv-felibien1676	placeName58	Versailles	
versailles_canal	merveilles17_i_dv-felibien1676	placeName59	grand Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName60	le Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName61	Au milieu du Canal	
versailles_trianon	merveilles17_i_dv-felibien1676	placeName62	Trianon	
versailles_jardins_menagerie	merveilles17_i_dv-felibien1676	placeName63	la Ménagerie	
versailles_trianon	merveilles17_i_dv-felibien1676	placeName64	Trianon	
versailles_jardins_menagerie	merveilles17_i_dv-felibien1676	placeName65	Ménagerie	
versailles_canal	merveilles17_i_dv-felibien1676	placeName66	au bas du Canal	
versailles_canal	merveilles17_i_dv-felibien1676	placeName67	Canal	
versailles_chateau	merveilles17_i_dv-felibien1676	placeName68	Chasteau	
versailles	merveilles17_i_dv-felibien1676	placeName69	Versailles	
versailles_jardins_petit_parc	merveilles17_i_dv-felibien1676	placeName70	petit Parc	
versailles	merveilles17_i_ormessonmai1664	placeName	Versailles	
versailles	merveilles17_i_pie-ballard1	placeName1	Versailles	
paris	merveilles17_i_pie-ballard1	placeName2	PARIS	
france	merveilles17_i_pie-ballard1	placeName3	France	
grece	merveilles17_i_pie-ballard1	placeName4	Grece	
france	merveilles17_i_pie-ballard1	placeName5	la France	
france	merveilles17_i_pie-ballard1	placeName6	la France	
espagne	merveilles17_i_pie-ballard1	placeName7	l’Espagne	
thrace	merveilles17_i_pie-ballard1	placeName8	la Thrace	
elide	merveilles17_i_pie-ballard1	placeName9	Elide	
versailles_jardins_bassin_apollon	merveilles17_i_pie-ballard1	placeName10	aux bords du Lac	
versailles	merveilles17_i_pie-ballard2	placeName2	Versailles	
paris	merveilles17_i_pie-ballard2	placeName3	Paris	
elide	merveilles17_i_pie-ballard2	placeName4	Elide	
versailles_jardins_bassin_apollon	merveilles17_i_pie-ballard2	placeName5	le grand Rondeau	
versailles_jardins_bassin_apollon	merveilles17_i_pie-ballard2	placeName6	ce Rondeau	
versailles	merveilles17_i_pie-ballard2	placeName7	Versailles	
versailles	merveilles17_i_pie-ballard2	placeName8	Versailles	
versailles_jardins_menagerie	merveilles17_i_pie-ballard2	placeName9	Mesnagerie	
fontainebleau	merveilles17_i_pie-ballard2	placeName10		
versailles	merveilles17_i_pie1673	placeName2	Versailles	
paris	merveilles17_i_pie1673	placeName3	Paris	
versailles_chateau	merveilles17_i_pie1673	placeName4	Chasteau	
versailles_jardins_bassin_apollon	merveilles17_i_pie1673	placeName5	le Lac	
france	merveilles17_i_pie1673	placeName6	France	
versailles_jardins	merveilles17_i_pie1673	placeName7	le Theatre	
versailles	merveilles17_i_pie1673	placeName8	Versailles	
paris	merveilles17_i_pie1673	placeName9	Paris	
versailles_chateau	merveilles17_i_pie1673	placeName10	Sallon	
fontainebleau	merveilles17_i_pie1673	placeName11	Fontainebleau	
paris	merveilles17_i_pieguignard1668_001	placeName1	PARIS	
versailles	merveilles17_i_pieguignard1668_001	placeName2	Versailles	
paris	merveilles17_i_pieguignard1668_001	placeName3	Paris	
versailles_chateau	merveilles17_i_pieguignard1668_001	placeName4	Palais de sa Majesté	
paris	merveilles17_i_pieguignard1668_001	placeName5	Paris	
grece	merveilles17_i_pieguignard1668_001	placeName6	Grece	
france	merveilles17_i_pieguignard1668_001	placeName7	France	
france	merveilles17_i_pieguignard1668_001	placeName8	France	
espagne	merveilles17_i_pieguignard1668_001	placeName9	l’Espagne	
versailles_chateau	merveilles17_i_pieguignard1668_001	placeName10	Chasteau	
versailles_jardins_bassin_apollon	merveilles17_i_pieguignard1668_001	placeName11	Lac	
france	merveilles17_i_pieguignard1668_001	placeName12	la France	
versailles_jardins_bassin_apollon	merveilles17_i_pieguignard1668_001	placeName13	le Lac	
versailles	merveilles17_i_pieguignard1668_001	placeName14	Versailles	
allemagne	merveilles17_i_pieguignard1668_001	placeName15	Allemagne	
versailles_chateau	merveilles17_i_pieguignard1668_001	placeName16	maison de Versailles	
paris	merveilles17_i_pieguignard1668_001	placeName17	Paris	
versailles_jardins	merveilles17_i_pieguignard1668_001	placeName18	son Sallon	
fontainebleau	merveilles17_i_pieguignard1668_001	placeName19	Fontaine-bleau	
versailles	merveilles17_ms_pie-bizincourt	placeName1	Versailles	
france	merveilles17_ms_pie-bizincourt	placeName2	France	
grece	merveilles17_ms_pie-bizincourt	placeName3	Grece	
france	merveilles17_ms_pie-bizincourt	placeName4	France	
france	merveilles17_ms_pie-bizincourt	placeName5	France	
france	merveilles17_ms_pie-bizincourt	placeName6	Espagne	
thrace	merveilles17_ms_pie-bizincourt	placeName7	Thrace	
elide	merveilles17_ms_pie-bizincourt	placeName8	Elide	
versailles	merveilles17_ms_piephilidor_001	placeName1	Versailles	
paris	merveilles17_ms_piephilidor_001	placeName2	Paris	
versailles_chateau	merveilles17_ms_piephilidor_001	placeName3	Palais de sa Majesté	
paris	merveilles17_ms_piephilidor_001	placeName4	Paris	
grece	merveilles17_ms_piephilidor_001	placeName5	Grece	
france	merveilles17_ms_piephilidor_001	placeName6	France	
france	merveilles17_ms_piephilidor_001	placeName7	France	
espagne	merveilles17_ms_piephilidor_001	placeName8	Espagne	
versailles_chateau	merveilles17_ms_piephilidor_001	placeName9	Chateau	
versailles	merveilles17_ms_piephilidor_001	placeName10	Versailles	
versailles_chateau	merveilles17_ms_piephilidor_001	placeName11	Maison de Versailles	
paris	merveilles17_ms_piephilidor_001	placeName12	Paris	
versailles_jardins_menagerie	merveilles17_ms_piephilidor_001	placeName13	sa Menagerie	
versailles_chateau	merveilles17_ms_piephilidor_001	placeName14	son Sallon	
fontainebleau	merveilles17_ms_piephilidor_001	placeName15	Fontainebleau	
italie	merveilles17_p_gazette16640216	placeName1	Italie	
paris_palais_royal	merveilles17_p_gazette16640216	placeName2	Palais Royal	
paris_arsenal	merveilles17_p_gazette16640216	placeName3	Arsenal	
paris_saint_paul	merveilles17_p_gazette16640216	placeName4	S. Paul	
paris_saint_louis_des_jesuites	merveilles17_p_gazette16640216	placeName5	l’Eglise des Jésüites de la rüe S. Antoine	
saint_cloud_chateau	merveilles17_p_gazette16640510	placeName1	S. Cloud	
paris_chaillot_couvent	merveilles17_p_gazette16640510	placeName2	Couvent des Religieuses de Challiot	
saint_cloud_jardins	merveilles17_p_gazette16640510	placeName3	Iardin de cette belle Maison	
suresne_mont_valerien	merveilles17_p_gazette16640510	placeName4	Mont Valérien	
saint_cloud_ursulines	merveilles17_p_gazette16640510	placeName5	Monastére des Vrsulines de S. Cloud	
versailles	merveilles17_p_gazette16640510	placeName6	Versailles	
france	merveilles17_p_gazette16640528	placeName1	France	
versailles_jardins_petit_parc	merveilles17_p_gazette16640528	placeName2	Petit Parc	
versailles_jardins_grande_allee	merveilles17_p_gazette16640528	placeName3	au milieu de la grande Allée qui regarde le Chasteau de Versailles	
versailles_jardins_avenues	merveilles17_p_gazette16640528	placeName4	trois Avenües	
versailles_jardins	merveilles17_p_gazette16640528	placeName5	milieu de la Place	
