clé	entrée	occurrence	fichier
versailles_jardins_grande_terrasse	Grande Terrasse de Versailles	La grande terasse	merveilles17_i_dv-felibien1676
versailles_jardins_petit_parc	Petit Parc de Versailles	le petit Parc	merveilles17_i_dv-felibien1676
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	le bassin d’Apollon	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le grand Canal	merveilles17_i_dv-felibien1676
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	bassin d’Apollon	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le Canal	merveilles17_i_dv-felibien1676
versailles_jardins	Jardins de Versailles	le grand Parc de Versailles	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	grand Canal	merveilles17_i_dv-felibien1676
versailles_trianon	Trianon	Trianon	merveilles17_i_dv-felibien1676
versailles_jardins_menagerie	Ménagerie	la Ménagerie	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	grand Canal	merveilles17_i_dv-felibien1676
versailles	Versailles	Versailles	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	grand Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	le Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Au milieu du Canal	merveilles17_i_dv-felibien1676
versailles_trianon	Trianon	Trianon	merveilles17_i_dv-felibien1676
versailles_jardins_menagerie	Ménagerie	la Ménagerie	merveilles17_i_dv-felibien1676
versailles_trianon	Trianon	Trianon	merveilles17_i_dv-felibien1676
versailles_jardins_menagerie	Ménagerie	Ménagerie	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	au bas du Canal	merveilles17_i_dv-felibien1676
versailles_canal	Canal de Versailles	Canal	merveilles17_i_dv-felibien1676
versailles_chateau	Château de Versailles	Chasteau	merveilles17_i_dv-felibien1676
versailles	Versailles	Versailles	merveilles17_i_dv-felibien1676
versailles_jardins_petit_parc	Petit Parc de Versailles	petit Parc	merveilles17_i_dv-felibien1676
versailles	Versailles	Versailles	merveilles17_i_ormessonmai1664
versailles	Versailles	Versailles	merveilles17_i_pie-ballard1
paris	Paris	PARIS	merveilles17_i_pie-ballard1
france	France	France	merveilles17_i_pie-ballard1
grece	Grèce	Grece	merveilles17_i_pie-ballard1
france	France	la France	merveilles17_i_pie-ballard1
france	France	la France	merveilles17_i_pie-ballard1
espagne	Espagne	l’Espagne	merveilles17_i_pie-ballard1
thrace	Thrace	la Thrace	merveilles17_i_pie-ballard1
elide	Elide	Elide	merveilles17_i_pie-ballard1
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	aux bords du Lac	merveilles17_i_pie-ballard1
versailles	Versailles	Versailles	merveilles17_i_pie-ballard2
paris	Paris	Paris	merveilles17_i_pie-ballard2
elide	Elide	Elide	merveilles17_i_pie-ballard2
